tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
015,1367343104,    5215, 1737.440063,   20.000000, 9601.358398, 8651.930664, 1214.418335,    3.582630, 8387.411133, 8648.340820, 8047.449707, 8303.191406,      5216,         1048576,000,001,000128
000,1393819648,    5316, 1550.038452,   20.000000, 9598.965820, 8843.838867, 1172.453369,    3.707021, 8426.663086, 8841.685547, 8100.166992, 8498.965820,      5317,         1048576,000,002,000128
001,1392508928,    5311, 1548.126587,   20.000000, 9600.215820, 8841.797852, 1193.197632,    3.770737, 8408.176758, 8839.367188, 8080.542480, 8493.061523,      5312,         1048576,000,002,000128
002,1393819648,    5316, 1550.368164,   20.000000, 9571.332031, 8868.123047, 1145.767090,    3.685309, 8424.812500, 8865.134766, 8101.759277, 8519.740234,      5316,         1048576,000,002,000128
003,1388052480,    5294, 1620.539307,   20.000000, 9559.649414, 8809.930664, 1174.077026,    4.036563, 8386.050781, 8806.975586, 8064.145996, 8460.854492,      5295,         1048576,000,002,000128
004,1387003904,    5290, 1544.229126,   20.000000, 9613.960938, 8834.558594, 1241.859985,    4.066600, 8371.931641, 8831.969727, 8043.775879, 8481.996094,      5291,         1048576,000,002,000128
005,1392246784,    5310, 1550.399170,   20.000000, 9595.058594, 8848.708984, 1194.374023,    3.619369, 8400.003906, 8845.923828, 8077.104004, 8498.883789,      5310,         1048576,000,002,000128
006,1393295360,    5314, 1549.253296,   20.000000, 9576.576172, 8867.417969, 1156.368164,    3.592465, 8419.942383, 8865.117188, 8091.777832, 8516.106445,      5315,         1048576,000,002,000128
007,1390411776,    5303, 1547.697876,   20.000000, 9636.461914, 8805.985352, 1219.011353,    3.715592, 8418.518555, 8803.675781, 8091.861328, 8458.027344,      5304,         1048576,000,002,000128
008,1377042432,    5252, 1736.865967,   20.000000, 9493.702148, 8759.548828, 1103.806763,    4.079608, 8390.125977, 8756.618164, 8038.328125, 8400.234375,      5253,         1048576,000,002,000128
009,1374420992,    5242, 1744.202881,   20.000000, 9469.333984, 8777.584961, 1146.222412,    3.645054, 8323.608398, 8775.593750, 7982.571289, 8415.682617,      5243,         1048576,000,002,000128
010,1368391680,    5219, 1741.434204,   20.000000, 9547.134766, 8703.726562, 1241.850342,    3.677738, 8305.022461, 8701.415039, 7967.916992, 8343.577148,      5220,         1048576,000,002,000128
