tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
019,00000000,00685193,020,00477629,00000000,00000000,001024,001,002,00016384,00344355
020,00000000,00684734,020,00480591,00000000,00000000,001024,001,002,00016384,00344316
021,00000000,00685086,020,00478083,00000000,00000000,001024,001,002,00016384,00343990
022,00000000,00683648,020,00480339,00000000,00000000,001024,001,002,00016384,00343663
023,00000000,00686395,020,00478074,00000000,00000000,001024,001,002,00016384,00345227
024,00000000,00682955,020,00479601,00000000,00000000,001024,001,002,00016384,00342939
025,00000000,00683383,020,00478411,00000000,00000000,001024,001,002,00016384,00344429
026,00000000,00678618,020,00477849,00000000,00000000,001024,001,002,00016384,00341243
027,00000000,00684186,020,00478919,00000000,00000000,001024,001,002,00016384,00344804
028,00000000,00681395,020,00477708,00000000,00000000,001024,001,002,00016384,00343079
029,00000000,00683324,020,00477990,00000000,00000000,001024,001,002,00016384,00343122
030,00000000,00683213,020,00478332,00000000,00000000,001024,001,002,00016384,00343432
031,00000000,00686363,020,00478721,00000000,00000000,001024,001,002,00016384,00344640
000,00000000,00394798,020,00278978,00000000,00000000,001024,002,002,00016384,00198758
001,00000000,00396306,020,00280380,00000000,00000000,001024,002,002,00016384,00199908
002,00000000,00397569,020,00281270,00000000,00000000,001024,002,002,00016384,00200124
003,00000000,00389404,020,00276756,00000000,00000000,001024,002,002,00016384,00196104
004,00000000,00393803,020,00277839,00000000,00000000,001024,002,002,00016384,00197420
005,00000000,00391390,020,00277993,00000000,00000000,001024,002,002,00016384,00197423
006,00000000,00394247,020,00278553,00000000,00000000,001024,002,002,00016384,00198410
007,00000000,00394752,020,00278282,00000000,00000000,001024,002,002,00016384,00198528
008,00000000,00394658,020,00279493,00000000,00000000,001024,002,002,00016384,00198811
009,00000000,00397220,020,00281142,00000000,00000000,001024,002,002,00016384,00200293
010,00000000,00393065,020,00278319,00000000,00000000,001024,002,002,00016384,00198057
011,00000000,00394238,020,00279341,00000000,00000000,001024,002,002,00016384,00197721
012,00000000,00390569,020,00278901,00000000,00000000,001024,002,002,00016384,00196832
