tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
001,00000000,00270037,00023866,010,00132505,00003113,00000968,001024,001,001,00000128,00135618,01,0000013727283413,00000000,00000000,002,001,016,016,0,0.99,050
002,00000000,00269855,00013306,010,00132485,00003139,00000977,001024,001,001,00000128,00135624,01,0000013743040886,00000000,00000000,002,001,016,016,0,0.99,050
003,00000000,00270131,00013866,010,00132481,00003061,00000926,001024,001,001,00000128,00135542,01,0000013737992312,00000000,00000000,002,001,016,016,0,0.99,050
004,00000000,00269941,00017961,010,00132572,00003097,00000973,001024,001,001,00000128,00135669,01,0000013745816586,00000000,00000000,002,001,016,016,0,0.99,050
005,00000000,00269943,00014745,010,00132498,00003132,00000977,001024,001,001,00000128,00135630,01,0000012845274051,00000000,00000000,002,001,016,016,0,0.99,050
006,00000000,00269942,00014635,010,00132149,00003105,00000993,001024,001,001,00000128,00135254,01,0000013724418527,00000000,00000000,002,001,016,016,0,0.99,050
007,00000000,00269831,00015848,010,00132243,00003266,00001008,001024,001,001,00000128,00135509,01,0000013863116599,00000000,00000000,002,001,016,016,0,0.99,050
008,00000000,00270520,00014883,010,00132493,00003172,00001027,001024,001,001,00000128,00135665,01,0000013677553734,00000000,00000000,002,001,016,016,0,0.99,050
009,00000000,00270394,00011909,010,00132512,00003152,00001016,001024,001,001,00000128,00135664,01,0000013724114601,00000000,00000000,002,001,016,016,0,0.99,050
010,00000000,00270094,00013512,010,00132132,00003092,00001002,001024,001,001,00000128,00135224,01,0000013720554238,00000000,00000000,002,001,016,016,0,0.99,050
011,00000000,00270458,00019496,010,00132252,00003124,00000976,001024,001,001,00000128,00135376,01,0000013700422197,00000000,00000000,002,001,016,016,0,0.99,050
012,00000000,00270421,00015011,010,00132603,00003150,00000984,001024,001,001,00000128,00135753,01,0000014517856881,00000000,00000000,002,001,016,016,0,0.99,050
013,00000000,00270381,00012970,010,00132533,00003150,00000990,001024,001,001,00000128,00135683,01,0000013699461632,00000000,00000000,002,001,016,016,0,0.99,050
014,00000000,00270485,00017846,010,00132665,00003058,00000906,001024,001,001,00000128,00135723,01,0000013809195207,00000000,00000000,002,001,016,016,0,0.99,050
015,00000000,00271089,00013186,010,00132900,00003083,00000975,001024,001,001,00000128,00135983,01,0000013746334833,00000000,00000000,002,001,016,016,0,0.99,050
000,00000000,00266249,00272090,010,00095362,00038225,00001032,001024,001,000,00000008,00133587,01,0000014271019242,00000000,00000000,002,001,016,016,0,0.99,050
001,00000000,00266241,00379183,010,00095608,00038101,00001118,001024,001,000,00000008,00133709,01,0000014319498459,00000000,00000000,002,001,016,016,0,0.99,050
002,00000000,00266183,00220976,010,00095567,00038343,00001108,001024,001,000,00000008,00133910,01,0000014009134596,00000000,00000000,002,001,016,016,0,0.99,050
003,00000000,00266414,00276596,010,00095624,00038007,00001059,001024,001,000,00000008,00133631,01,0000014021969310,00000000,00000000,002,001,016,016,0,0.99,050
004,00000000,00266329,00268439,010,00095512,00038195,00001105,001024,001,000,00000008,00133707,01,0000014160175009,00000000,00000000,002,001,016,016,0,0.99,050
005,00000000,00266138,00243779,010,00095506,00038135,00001075,001024,001,000,00000008,00133641,01,0000014027918015,00000000,00000000,002,001,016,016,0,0.99,050
006,00000000,00266035,00233337,010,00095997,00038017,00001052,001024,001,000,00000008,00134014,01,0000014033301264,00000000,00000000,002,001,016,016,0,0.99,050
007,00000000,00265880,00244393,010,00095936,00037845,00001023,001024,001,000,00000008,00133781,01,0000014144798250,00000000,00000000,002,001,016,016,0,0.99,050
008,00000000,00266329,00000000,010,00095563,00038163,00001072,001024,001,000,00000008,00133726,01,0000014004125641,00000000,00000000,002,001,016,016,0,0.99,050
009,00000000,00266046,00000000,010,00095270,00037832,00001068,001024,001,000,00000008,00133102,01,0000013258208339,00000000,00000000,002,001,016,016,0,0.99,050
010,00000000,00266060,00000000,010,00095512,00038129,00001031,001024,001,000,00000008,00133641,01,0000014087719032,00000000,00000000,002,001,016,016,0,0.99,050
011,00000000,00266373,00000000,010,00095335,00038272,00001050,001024,001,000,00000008,00133607,01,0000014072381265,00000000,00000000,002,001,016,016,0,0.99,050
012,00000000,00266331,00000000,010,00095563,00038167,00001042,001024,001,000,00000008,00133730,01,0000014007686170,00000000,00000000,002,001,016,016,0,0.99,050
013,00000000,00266313,00000000,010,00095551,00038059,00001061,001024,001,000,00000008,00133610,01,0000014053807225,00000000,00000000,002,001,016,016,0,0.99,050
014,00000000,00266414,00000000,010,00095656,00038128,00001120,001024,001,000,00000008,00133784,01,0000013978749960,00000000,00000000,002,001,016,016,0,0.99,050
