tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
000,00000000,00049823,010,00024956,00000000,00000000,001024,003,001,00016384,00024956,02,0000000004107253,00002317
001,00000000,00049437,010,00024840,00000000,00000000,001024,003,001,00016384,00024840,02,0000000003854108,00002342
002,00000000,00049353,010,00024687,00000000,00000000,001024,003,001,00016384,00024687,02,0000000006462485,00002283
003,00000000,00049584,010,00024802,00000000,00000000,001024,003,001,00016384,00024802,02,0000000005100152,00002207
004,00000000,00049570,010,00025052,00000000,00000000,001024,003,001,00016384,00025052,02,0000000003904832,00002347
005,00000000,00049302,010,00024723,00000000,00000000,001024,003,001,00016384,00024723,02,0000000006015427,00002310
006,00000000,00049633,010,00024852,00000000,00000000,001024,003,001,00016384,00024852,02,0000000003879787,00002306
007,00000000,00049219,010,00024773,00000000,00000000,001024,003,001,00016384,00024773,02,0000000005100953,00002258
008,00000000,00049498,010,00025013,00000000,00000000,001024,003,001,00016384,00025013,02,0000000003923879,00002344
009,00000000,00049454,010,00024735,00000000,00000000,001024,003,001,00016384,00024735,02,0000000005464923,00002288
010,00000000,00049911,010,00024918,00000000,00000000,001024,003,001,00016384,00024918,02,0000000004167499,00002281
011,00000000,00049409,010,00024831,00000000,00000000,001024,003,001,00016384,00024831,02,0000000005675667,00002300
012,00000000,00049699,010,00024738,00000000,00000000,001024,003,001,00016384,00024738,02,0000000004390947,00002310
013,00000000,00049351,010,00024617,00000000,00000000,001024,003,001,00016384,00024617,02,0000000005453819,00002292
014,00000000,00049253,010,00024695,00000000,00000000,001024,003,001,00016384,00024695,02,0000000005462581,00002269
015,00000000,00049726,010,00024895,00000000,00000000,001024,003,001,00016384,00024895,02,0000000004462930,00002313
016,00000000,00049468,010,00024872,00000000,00000000,001024,003,001,00016384,00024872,02,0000000006417607,00002305
017,00000000,00049659,010,00024988,00000000,00000000,001024,003,001,00016384,00024988,02,0000000004200397,00002322
018,00000000,00049638,010,00024926,00000000,00000000,001024,003,001,00016384,00024926,02,0000000004280984,00002322
019,00000000,00049143,010,00024800,00000000,00000000,001024,003,001,00016384,00024800,02,0000000005730152,00002289
020,00000000,00049542,010,00025032,00000000,00000000,001024,003,001,00016384,00025032,02,0000000004666214,00002354
021,00000000,00049440,010,00024667,00000000,00000000,001024,003,001,00016384,00024667,02,0000000005210757,00002308
022,00000000,00049568,010,00024801,00000000,00000000,001024,003,001,00016384,00024801,02,0000000004515020,00002327
023,00000000,00049149,010,00024710,00000000,00000000,001024,003,001,00016384,00024710,02,0000000005500736,00002348
